surface	cell	gold	panel
웃으시는 어머님의 조카도 기다렸다 => 	SI_N1	앞	f2prime
웃으시는 조카의 어머님도 기다렸다 => 	SI_N2	뒤	f2prime
웃는 어머님의 조카도 기다렸다 => 	PL_N1	뒤	f2prime
웃는 조카의 어머님도 기다렸다 => 	PL_N2	앞	f2prime
웃으시는 어머님의 조카도 기다렸어요 => 	SI_N1	앞	f2prime
웃으시는 조카의 어머님도 기다렸어요 => 	SI_N2	뒤	f2prime
웃는 어머님의 조카도 기다렸어요 => 	PL_N1	뒤	f2prime
웃는 조카의 어머님도 기다렸어요 => 	PL_N2	앞	f2prime
오시는 어머님의 조카도 기다렸다 => 	SI_N1	앞	f2prime
오시는 조카의 어머님도 기다렸다 => 	SI_N2	뒤	f2prime
오는 어머님의 조카도 기다렸다 => 	PL_N1	뒤	f2prime
오는 조카의 어머님도 기다렸다 => 	PL_N2	앞	f2prime
오시는 어머님의 조카도 기다렸어요 => 	SI_N1	앞	f2prime
오시는 조카의 어머님도 기다렸어요 => 	SI_N2	뒤	f2prime
오는 어머님의 조카도 기다렸어요 => 	PL_N1	뒤	f2prime
오는 조카의 어머님도 기다렸어요 => 	PL_N2	앞	f2prime
떠나시는 어머님의 조카도 기다렸다 => 	SI_N1	앞	f2prime
떠나시는 조카의 어머님도 기다렸다 => 	SI_N2	뒤	f2prime
떠나는 어머님의 조카도 기다렸다 => 	PL_N1	뒤	f2prime
떠나는 조카의 어머님도 기다렸다 => 	PL_N2	앞	f2prime
떠나시는 어머님의 조카도 기다렸어요 => 	SI_N1	앞	f2prime
떠나시는 조카의 어머님도 기다렸어요 => 	SI_N2	뒤	f2prime
떠나는 어머님의 조카도 기다렸어요 => 	PL_N1	뒤	f2prime
떠나는 조카의 어머님도 기다렸어요 => 	PL_N2	앞	f2prime
웃으시는 어머님의 후배도 기다렸다 => 	SI_N1	앞	f2prime
웃으시는 후배의 어머님도 기다렸다 => 	SI_N2	뒤	f2prime
웃는 어머님의 후배도 기다렸다 => 	PL_N1	뒤	f2prime
웃는 후배의 어머님도 기다렸다 => 	PL_N2	앞	f2prime
웃으시는 어머님의 후배도 기다렸어요 => 	SI_N1	앞	f2prime
웃으시는 후배의 어머님도 기다렸어요 => 	SI_N2	뒤	f2prime
웃는 어머님의 후배도 기다렸어요 => 	PL_N1	뒤	f2prime
웃는 후배의 어머님도 기다렸어요 => 	PL_N2	앞	f2prime
오시는 어머님의 후배도 기다렸다 => 	SI_N1	앞	f2prime
오시는 후배의 어머님도 기다렸다 => 	SI_N2	뒤	f2prime
오는 어머님의 후배도 기다렸다 => 	PL_N1	뒤	f2prime
오는 후배의 어머님도 기다렸다 => 	PL_N2	앞	f2prime
오시는 어머님의 후배도 기다렸어요 => 	SI_N1	앞	f2prime
오시는 후배의 어머님도 기다렸어요 => 	SI_N2	뒤	f2prime
오는 어머님의 후배도 기다렸어요 => 	PL_N1	뒤	f2prime
오는 후배의 어머님도 기다렸어요 => 	PL_N2	앞	f2prime
떠나시는 어머님의 후배도 기다렸다 => 	SI_N1	앞	f2prime
떠나시는 후배의 어머님도 기다렸다 => 	SI_N2	뒤	f2prime
떠나는 어머님의 후배도 기다렸다 => 	PL_N1	뒤	f2prime
떠나는 후배의 어머님도 기다렸다 => 	PL_N2	앞	f2prime
떠나시는 어머님의 후배도 기다렸어요 => 	SI_N1	앞	f2prime
떠나시는 후배의 어머님도 기다렸어요 => 	SI_N2	뒤	f2prime
떠나는 어머님의 후배도 기다렸어요 => 	PL_N1	뒤	f2prime
떠나는 후배의 어머님도 기다렸어요 => 	PL_N2	앞	f2prime
웃으시는 회장님의 비서도 기다렸다 => 	SI_N1	앞	f2prime
웃으시는 비서의 회장님도 기다렸다 => 	SI_N2	뒤	f2prime
웃는 회장님의 비서도 기다렸다 => 	PL_N1	뒤	f2prime
웃는 비서의 회장님도 기다렸다 => 	PL_N2	앞	f2prime
웃으시는 회장님의 비서도 기다렸어요 => 	SI_N1	앞	f2prime
웃으시는 비서의 회장님도 기다렸어요 => 	SI_N2	뒤	f2prime
웃는 회장님의 비서도 기다렸어요 => 	PL_N1	뒤	f2prime
웃는 비서의 회장님도 기다렸어요 => 	PL_N2	앞	f2prime
오시는 회장님의 비서도 기다렸다 => 	SI_N1	앞	f2prime
오시는 비서의 회장님도 기다렸다 => 	SI_N2	뒤	f2prime
오는 회장님의 비서도 기다렸다 => 	PL_N1	뒤	f2prime
오는 비서의 회장님도 기다렸다 => 	PL_N2	앞	f2prime
오시는 회장님의 비서도 기다렸어요 => 	SI_N1	앞	f2prime
오시는 비서의 회장님도 기다렸어요 => 	SI_N2	뒤	f2prime
오는 회장님의 비서도 기다렸어요 => 	PL_N1	뒤	f2prime
오는 비서의 회장님도 기다렸어요 => 	PL_N2	앞	f2prime
떠나시는 회장님의 비서도 기다렸다 => 	SI_N1	앞	f2prime
떠나시는 비서의 회장님도 기다렸다 => 	SI_N2	뒤	f2prime
떠나는 회장님의 비서도 기다렸다 => 	PL_N1	뒤	f2prime
떠나는 비서의 회장님도 기다렸다 => 	PL_N2	앞	f2prime
떠나시는 회장님의 비서도 기다렸어요 => 	SI_N1	앞	f2prime
떠나시는 비서의 회장님도 기다렸어요 => 	SI_N2	뒤	f2prime
떠나는 회장님의 비서도 기다렸어요 => 	PL_N1	뒤	f2prime
떠나는 비서의 회장님도 기다렸어요 => 	PL_N2	앞	f2prime
웃으시는 회장님의 후배도 기다렸다 => 	SI_N1	앞	f2prime
웃으시는 후배의 회장님도 기다렸다 => 	SI_N2	뒤	f2prime
웃는 회장님의 후배도 기다렸다 => 	PL_N1	뒤	f2prime
웃는 후배의 회장님도 기다렸다 => 	PL_N2	앞	f2prime
웃으시는 회장님의 후배도 기다렸어요 => 	SI_N1	앞	f2prime
웃으시는 후배의 회장님도 기다렸어요 => 	SI_N2	뒤	f2prime
웃는 회장님의 후배도 기다렸어요 => 	PL_N1	뒤	f2prime
웃는 후배의 회장님도 기다렸어요 => 	PL_N2	앞	f2prime
오시는 회장님의 후배도 기다렸다 => 	SI_N1	앞	f2prime
오시는 후배의 회장님도 기다렸다 => 	SI_N2	뒤	f2prime
오는 회장님의 후배도 기다렸다 => 	PL_N1	뒤	f2prime
오는 후배의 회장님도 기다렸다 => 	PL_N2	앞	f2prime
오시는 회장님의 후배도 기다렸어요 => 	SI_N1	앞	f2prime
오시는 후배의 회장님도 기다렸어요 => 	SI_N2	뒤	f2prime
오는 회장님의 후배도 기다렸어요 => 	PL_N1	뒤	f2prime
오는 후배의 회장님도 기다렸어요 => 	PL_N2	앞	f2prime
떠나시는 회장님의 후배도 기다렸다 => 	SI_N1	앞	f2prime
떠나시는 후배의 회장님도 기다렸다 => 	SI_N2	뒤	f2prime
떠나는 회장님의 후배도 기다렸다 => 	PL_N1	뒤	f2prime
떠나는 후배의 회장님도 기다렸다 => 	PL_N2	앞	f2prime
떠나시는 회장님의 후배도 기다렸어요 => 	SI_N1	앞	f2prime
떠나시는 후배의 회장님도 기다렸어요 => 	SI_N2	뒤	f2prime
떠나는 회장님의 후배도 기다렸어요 => 	PL_N1	뒤	f2prime
떠나는 후배의 회장님도 기다렸어요 => 	PL_N2	앞	f2prime
웃으시는 스승님의 제자도 기다렸다 => 	SI_N1	앞	f2prime
웃으시는 제자의 스승님도 기다렸다 => 	SI_N2	뒤	f2prime
웃는 스승님의 제자도 기다렸다 => 	PL_N1	뒤	f2prime
웃는 제자의 스승님도 기다렸다 => 	PL_N2	앞	f2prime
웃으시는 스승님의 제자도 기다렸어요 => 	SI_N1	앞	f2prime
웃으시는 제자의 스승님도 기다렸어요 => 	SI_N2	뒤	f2prime
웃는 스승님의 제자도 기다렸어요 => 	PL_N1	뒤	f2prime
웃는 제자의 스승님도 기다렸어요 => 	PL_N2	앞	f2prime
오시는 스승님의 제자도 기다렸다 => 	SI_N1	앞	f2prime
오시는 제자의 스승님도 기다렸다 => 	SI_N2	뒤	f2prime
오는 스승님의 제자도 기다렸다 => 	PL_N1	뒤	f2prime
오는 제자의 스승님도 기다렸다 => 	PL_N2	앞	f2prime
오시는 스승님의 제자도 기다렸어요 => 	SI_N1	앞	f2prime
오시는 제자의 스승님도 기다렸어요 => 	SI_N2	뒤	f2prime
오는 스승님의 제자도 기다렸어요 => 	PL_N1	뒤	f2prime
오는 제자의 스승님도 기다렸어요 => 	PL_N2	앞	f2prime
떠나시는 스승님의 제자도 기다렸다 => 	SI_N1	앞	f2prime
떠나시는 제자의 스승님도 기다렸다 => 	SI_N2	뒤	f2prime
떠나는 스승님의 제자도 기다렸다 => 	PL_N1	뒤	f2prime
떠나는 제자의 스승님도 기다렸다 => 	PL_N2	앞	f2prime
떠나시는 스승님의 제자도 기다렸어요 => 	SI_N1	앞	f2prime
떠나시는 제자의 스승님도 기다렸어요 => 	SI_N2	뒤	f2prime
떠나는 스승님의 제자도 기다렸어요 => 	PL_N1	뒤	f2prime
떠나는 제자의 스승님도 기다렸어요 => 	PL_N2	앞	f2prime
웃으시는 스승님의 조카도 기다렸다 => 	SI_N1	앞	f2prime
